"timestamp","host_id","property_name","new_value"
0,"AS0","energy_mix","Biomass:2.06;Fossil Brown coal/Lignite:10.83;Fossil Coal-derived gas:0.78;Fossil Gas:17.85;Fossil Hard coal:32.85;Fossil Oil:1.18;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.27;Hydro Water Reservoir:0.11;Other renewable:0.34;Solar:0.00;Wind Onshore:30.36;Other:3.37"
0,"AS0","carbon_intensity","Biomass:230;Fossil Brown coal/Lignite:0;Fossil Coal-derived gas:0;Fossil Gas:280;Fossil Hard coal:630;Fossil Oil:280;Hydro Pumped Storage:81;Hydro Run-of-river and pondage:81;Hydro Water Reservoir:81;Other renewable:0;Solar:21;Wind Onshore:12;Other:0"
0,"AS0","water_intensity","Biomass:1.147;Fossil Brown coal/Lignite:0;Fossil Coal-derived gas:0;Fossil Gas:1.086;Fossil Hard coal:1.802;Fossil Oil:1.086;Hydro Pumped Storage:17.0;Hydro Run-of-river and pondage:17.0;Hydro Water Reservoir:17.0;Other renewable:0;Solar:0.004;Wind Onshore:0;Other:0"
900,"AS0","energy_mix","Biomass:2.05;Fossil Brown coal/Lignite:10.92;Fossil Coal-derived gas:0.78;Fossil Gas:17.61;Fossil Hard coal:32.94;Fossil Oil:1.18;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.27;Hydro Water Reservoir:0.11;Other renewable:0.34;Solar:0.00;Wind Onshore:30.41;Other:3.39"
1800,"AS0","energy_mix","Biomass:2.08;Fossil Brown coal/Lignite:11.00;Fossil Coal-derived gas:0.79;Fossil Gas:17.38;Fossil Hard coal:32.89;Fossil Oil:1.18;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.27;Hydro Water Reservoir:0.11;Other renewable:0.34;Solar:0.00;Wind Onshore:30.57;Other:3.39"
2700,"AS0","energy_mix","Biomass:2.09;Fossil Brown coal/Lignite:11.00;Fossil Coal-derived gas:0.78;Fossil Gas:17.22;Fossil Hard coal:32.87;Fossil Oil:1.18;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.27;Hydro Water Reservoir:0.11;Other renewable:0.34;Solar:0.00;Wind Onshore:30.74;Other:3.40"
3600,"AS0","energy_mix","Biomass:2.09;Fossil Brown coal/Lignite:11.02;Fossil Coal-derived gas:0.80;Fossil Gas:17.27;Fossil Hard coal:32.67;Fossil Oil:1.18;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.27;Hydro Water Reservoir:0.11;Other renewable:0.34;Solar:0.00;Wind Onshore:30.85;Other:3.40"
4500,"AS0","energy_mix","Biomass:2.11;Fossil Brown coal/Lignite:11.09;Fossil Coal-derived gas:0.80;Fossil Gas:17.26;Fossil Hard coal:32.14;Fossil Oil:1.20;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.27;Hydro Water Reservoir:0.11;Other renewable:0.34;Solar:0.00;Wind Onshore:31.25;Other:3.43"
5400,"AS0","energy_mix","Biomass:2.08;Fossil Brown coal/Lignite:11.07;Fossil Coal-derived gas:0.79;Fossil Gas:17.07;Fossil Hard coal:31.97;Fossil Oil:1.20;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.27;Hydro Water Reservoir:0.11;Other renewable:0.34;Solar:0.00;Wind Onshore:31.66;Other:3.44"
6300,"AS0","energy_mix","Biomass:2.09;Fossil Brown coal/Lignite:11.14;Fossil Coal-derived gas:0.80;Fossil Gas:16.21;Fossil Hard coal:32.46;Fossil Oil:1.21;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.28;Hydro Water Reservoir:0.11;Other renewable:0.35;Solar:0.00;Wind Onshore:31.87;Other:3.48"
