"timestamp","host_id","property_name","new_value"
0,"AS0","energy_mix","Biomass:9.02;Fossil Brown coal/Lignite:19.07;Fossil Coal-derived gas:1.43;Fossil Gas:29.09;Fossil Hard coal:7.12;Fossil Oil:0.25;Geothermal:0.05;Hydro Pumped Storage:0.21;Hydro Run-of-river and pondage:2.04;Hydro Water Reservoir:0.03;Other renewable:0.17;Solar:0.00;Waste:1.67;Wind Offshore:4.05;Wind Onshore:25.10;Other:0.70"
0,"AS0","carbon_intensity","Biomass:230;Fossil Brown coal/Lignite:0;Fossil Coal-derived gas:0;Fossil Gas:280;Fossil Hard coal:630;Fossil Oil:280;Geothermal:0;Hydro Pumped Storage:81;Hydro Run-of-river and pondage:81;Hydro Water Reservoir:81;Other renewable:0;Solar:21;Waste:230;Wind Offshore:13;Wind Onshore:12;Other:0"
0,"AS0","water_intensity","Biomass:1.147;Fossil Brown coal/Lignite:0;Fossil Coal-derived gas:0;Fossil Gas:1.086;Fossil Hard coal:1.802;Fossil Oil:1.086;Geothermal:0;Hydro Pumped Storage:17.0;Hydro Run-of-river and pondage:17.0;Hydro Water Reservoir:17.0;Other renewable:0;Solar:0.004;Waste:1.147;Wind Offshore:0;Wind Onshore:0;Other:0"
900,"AS0","energy_mix","Biomass:8.96;Fossil Brown coal/Lignite:19.05;Fossil Coal-derived gas:1.40;Fossil Gas:29.24;Fossil Hard coal:6.91;Fossil Oil:0.25;Geothermal:0.05;Hydro Pumped Storage:0.32;Hydro Run-of-river and pondage:2.04;Hydro Water Reservoir:0.10;Other renewable:0.18;Solar:0.00;Waste:1.65;Wind Offshore:3.99;Wind Onshore:25.16;Other:0.70"
1800,"AS0","energy_mix","Biomass:9.01;Fossil Brown coal/Lignite:18.72;Fossil Coal-derived gas:1.44;Fossil Gas:29.32;Fossil Hard coal:6.79;Fossil Oil:0.25;Geothermal:0.05;Hydro Pumped Storage:0.35;Hydro Run-of-river and pondage:2.06;Hydro Water Reservoir:0.10;Other renewable:0.18;Solar:0.00;Waste:1.68;Wind Offshore:3.95;Wind Onshore:25.39;Other:0.71"
2700,"AS0","energy_mix","Biomass:9.07;Fossil Brown coal/Lignite:18.87;Fossil Coal-derived gas:1.38;Fossil Gas:29.64;Fossil Hard coal:6.70;Fossil Oil:0.25;Geothermal:0.05;Hydro Pumped Storage:0.36;Hydro Run-of-river and pondage:2.07;Hydro Water Reservoir:0.10;Other renewable:0.18;Solar:0.00;Waste:1.70;Wind Offshore:3.97;Wind Onshore:24.97;Other:0.69"
3600,"AS0","energy_mix","Biomass:9.10;Fossil Brown coal/Lignite:18.97;Fossil Coal-derived gas:1.37;Fossil Gas:29.77;Fossil Hard coal:6.73;Fossil Oil:0.25;Geothermal:0.05;Hydro Pumped Storage:0.08;Hydro Run-of-river and pondage:2.04;Hydro Water Reservoir:0.09;Other renewable:0.18;Solar:0.00;Waste:1.68;Wind Offshore:4.02;Wind Onshore:24.97;Other:0.70"
4500,"AS0","energy_mix","Biomass:9.14;Fossil Brown coal/Lignite:18.34;Fossil Coal-derived gas:1.42;Fossil Gas:29.89;Fossil Hard coal:6.82;Fossil Oil:0.25;Geothermal:0.05;Hydro Pumped Storage:0.01;Hydro Run-of-river and pondage:2.04;Hydro Water Reservoir:0.09;Other renewable:0.18;Solar:0.00;Waste:1.68;Wind Offshore:4.04;Wind Onshore:25.34;Other:0.71"
5400,"AS0","energy_mix","Biomass:9.17;Fossil Brown coal/Lignite:18.11;Fossil Coal-derived gas:1.50;Fossil Gas:29.87;Fossil Hard coal:6.87;Fossil Oil:0.25;Geothermal:0.05;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:2.05;Hydro Water Reservoir:0.10;Other renewable:0.18;Solar:0.00;Waste:1.68;Wind Offshore:4.03;Wind Onshore:25.41;Other:0.73"
6300,"AS0","energy_mix","Biomass:9.27;Fossil Brown coal/Lignite:17.80;Fossil Coal-derived gas:1.49;Fossil Gas:30.01;Fossil Hard coal:6.94;Fossil Oil:0.26;Geothermal:0.05;Hydro Pumped Storage:0.02;Hydro Run-of-river and pondage:2.07;Hydro Water Reservoir:0.10;Other renewable:0.18;Solar:0.00;Waste:1.66;Wind Offshore:4.04;Wind Onshore:25.37;Other:0.74"
7200,"AS0","energy_mix","Biomass:9.31;Fossil Brown coal/Lignite:17.71;Fossil Coal-derived gas:1.47;Fossil Gas:30.05;Fossil Hard coal:7.00;Fossil Oil:0.26;Geothermal:0.05;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:2.12;Hydro Water Reservoir:0.08;Other renewable:0.18;Solar:0.00;Waste:1.71;Wind Offshore:4.04;Wind Onshore:25.28;Other:0.74"
8100,"AS0","energy_mix","Biomass:9.34;Fossil Brown coal/Lignite:17.65;Fossil Coal-derived gas:1.40;Fossil Gas:30.09;Fossil Hard coal:7.03;Fossil Oil:0.26;Geothermal:0.05;Hydro Pumped Storage:0.05;Hydro Run-of-river and pondage:2.11;Hydro Water Reservoir:0.09;Other renewable:0.17;Solar:0.00;Waste:1.71;Wind Offshore:4.01;Wind Onshore:25.31;Other:0.73"
9000,"AS0","energy_mix","Biomass:9.35;Fossil Brown coal/Lignite:17.74;Fossil Coal-derived gas:1.41;Fossil Gas:30.16;Fossil Hard coal:7.04;Fossil Oil:0.26;Geothermal:0.05;Hydro Pumped Storage:0.01;Hydro Run-of-river and pondage:2.10;Hydro Water Reservoir:0.10;Other renewable:0.17;Solar:0.00;Waste:1.74;Wind Offshore:4.02;Wind Onshore:25.13;Other:0.72"
9900,"AS0","energy_mix","Biomass:9.36;Fossil Brown coal/Lignite:17.56;Fossil Coal-derived gas:1.38;Fossil Gas:30.27;Fossil Hard coal:7.02;Fossil Oil:0.26;Geothermal:0.05;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:2.12;Hydro Water Reservoir:0.09;Other renewable:0.17;Solar:0.00;Waste:1.74;Wind Offshore:4.06;Wind Onshore:25.17;Other:0.75"
10800,"AS0","energy_mix","Biomass:9.41;Fossil Brown coal/Lignite:17.53;Fossil Coal-derived gas:1.40;Fossil Gas:30.18;Fossil Hard coal:7.03;Fossil Oil:0.26;Geothermal:0.05;Hydro Pumped Storage:0.03;Hydro Run-of-river and pondage:2.12;Hydro Water Reservoir:0.05;Other renewable:0.18;Solar:0.00;Waste:1.74;Wind Offshore:4.06;Wind Onshore:25.23;Other:0.73"
11700,"AS0","energy_mix","Biomass:9.43;Fossil Brown coal/Lignite:17.50;Fossil Coal-derived gas:1.41;Fossil Gas:30.14;Fossil Hard coal:7.04;Fossil Oil:0.26;Geothermal:0.05;Hydro Pumped Storage:0.04;Hydro Run-of-river and pondage:2.13;Hydro Water Reservoir:0.03;Other renewable:0.18;Solar:0.00;Waste:1.75;Wind Offshore:4.05;Wind Onshore:25.26;Other:0.73"
12600,"AS0","energy_mix","Biomass:9.47;Fossil Brown coal/Lignite:17.28;Fossil Coal-derived gas:1.39;Fossil Gas:30.31;Fossil Hard coal:7.09;Fossil Oil:0.26;Geothermal:0.05;Hydro Pumped Storage:0.04;Hydro Run-of-river and pondage:2.10;Hydro Water Reservoir:0.03;Other renewable:0.18;Solar:0.00;Waste:1.70;Wind Offshore:4.10;Wind Onshore:25.26;Other:0.74"
13500,"AS0","energy_mix","Biomass:9.51;Fossil Brown coal/Lignite:17.24;Fossil Coal-derived gas:1.40;Fossil Gas:30.27;Fossil Hard coal:7.10;Fossil Oil:0.26;Geothermal:0.05;Hydro Pumped Storage:0.04;Hydro Run-of-river and pondage:2.12;Hydro Water Reservoir:0.03;Other renewable:0.18;Solar:0.00;Waste:1.76;Wind Offshore:4.15;Wind Onshore:25.14;Other:0.75"
14400,"AS0","energy_mix","Biomass:9.59;Fossil Brown coal/Lignite:17.06;Fossil Coal-derived gas:1.40;Fossil Gas:30.09;Fossil Hard coal:7.21;Fossil Oil:0.26;Geothermal:0.05;Hydro Pumped Storage:0.01;Hydro Run-of-river and pondage:2.12;Hydro Water Reservoir:0.04;Other renewable:0.18;Solar:0.00;Waste:1.74;Wind Offshore:4.21;Wind Onshore:25.30;Other:0.74"
15300,"AS0","energy_mix","Biomass:9.62;Fossil Brown coal/Lignite:17.14;Fossil Coal-derived gas:1.36;Fossil Gas:29.97;Fossil Hard coal:7.23;Fossil Oil:0.26;Geothermal:0.05;Hydro Pumped Storage:0.06;Hydro Run-of-river and pondage:2.12;Hydro Water Reservoir:0.05;Other renewable:0.18;Solar:0.00;Waste:1.75;Wind Offshore:4.21;Wind Onshore:25.25;Other:0.75"
16200,"AS0","energy_mix","Biomass:9.60;Fossil Brown coal/Lignite:17.51;Fossil Coal-derived gas:1.34;Fossil Gas:29.86;Fossil Hard coal:7.21;Fossil Oil:0.26;Geothermal:0.05;Hydro Pumped Storage:0.02;Hydro Run-of-river and pondage:2.12;Hydro Water Reservoir:0.04;Other renewable:0.18;Solar:0.00;Waste:1.75;Wind Offshore:4.23;Wind Onshore:25.09;Other:0.74"
