"timestamp","host_id","property_name","new_value"
0,"AS0","energy_mix","Mix:100.00"
0,"AS0","carbon_intensity","Mix:343.89"
0,"AS0","water_intensity","Mix:1.35"
900,"AS0","carbon_intensity","Mix:339.45"
900,"AS0","water_intensity","Mix:1.48"
1800,"AS0","carbon_intensity","Mix:339.82"
1800,"AS0","water_intensity","Mix:1.49"
2700,"AS0","carbon_intensity","Mix:341.81"
2700,"AS0","water_intensity","Mix:1.50"
3600,"AS0","carbon_intensity","Mix:345.30"
3600,"AS0","water_intensity","Mix:1.70"
4500,"AS0","carbon_intensity","Mix:341.85"
4500,"AS0","water_intensity","Mix:1.66"
5400,"AS0","carbon_intensity","Mix:342.62"
5400,"AS0","water_intensity","Mix:1.65"
6300,"AS0","carbon_intensity","Mix:343.09"
6300,"AS0","water_intensity","Mix:1.67"
7200,"AS0","carbon_intensity","Mix:342.02"
7200,"AS0","water_intensity","Mix:1.82"
8100,"AS0","carbon_intensity","Mix:348.45"
8100,"AS0","water_intensity","Mix:1.95"
9000,"AS0","carbon_intensity","Mix:347.49"
9000,"AS0","water_intensity","Mix:1.94"
9900,"AS0","carbon_intensity","Mix:346.98"
9900,"AS0","water_intensity","Mix:1.94"
10800,"AS0","carbon_intensity","Mix:349.03"
10800,"AS0","water_intensity","Mix:1.98"
11700,"AS0","carbon_intensity","Mix:353.34"
11700,"AS0","water_intensity","Mix:1.96"
12600,"AS0","carbon_intensity","Mix:357.01"
12600,"AS0","water_intensity","Mix:1.96"
13500,"AS0","carbon_intensity","Mix:358.10"
13500,"AS0","water_intensity","Mix:1.96"
14400,"AS0","carbon_intensity","Mix:361.80"
14400,"AS0","water_intensity","Mix:1.85"
15300,"AS0","carbon_intensity","Mix:366.36"
15300,"AS0","water_intensity","Mix:1.84"
16200,"AS0","carbon_intensity","Mix:371.55"
16200,"AS0","water_intensity","Mix:1.85"
17100,"AS0","carbon_intensity","Mix:372.37"
17100,"AS0","water_intensity","Mix:1.85"
18000,"AS0","carbon_intensity","Mix:373.91"
18000,"AS0","water_intensity","Mix:1.70"
18900,"AS0","carbon_intensity","Mix:378.74"
18900,"AS0","water_intensity","Mix:1.68"
19800,"AS0","carbon_intensity","Mix:385.17"
19800,"AS0","water_intensity","Mix:1.70"
20700,"AS0","carbon_intensity","Mix:383.93"
20700,"AS0","water_intensity","Mix:1.69"
21600,"AS0","carbon_intensity","Mix:388.35"
21600,"AS0","water_intensity","Mix:1.55"
22500,"AS0","carbon_intensity","Mix:396.62"
22500,"AS0","water_intensity","Mix:1.41"
23400,"AS0","carbon_intensity","Mix:405.41"
23400,"AS0","water_intensity","Mix:1.32"
24300,"AS0","carbon_intensity","Mix:411.86"
24300,"AS0","water_intensity","Mix:1.38"
25200,"AS0","carbon_intensity","Mix:418.69"
25200,"AS0","water_intensity","Mix:1.46"
26100,"AS0","carbon_intensity","Mix:426.29"
26100,"AS0","water_intensity","Mix:1.43"
27000,"AS0","carbon_intensity","Mix:430.53"
27000,"AS0","water_intensity","Mix:1.45"
27900,"AS0","carbon_intensity","Mix:430.16"
27900,"AS0","water_intensity","Mix:1.34"
28800,"AS0","carbon_intensity","Mix:424.13"
28800,"AS0","water_intensity","Mix:1.43"
29700,"AS0","carbon_intensity","Mix:418.96"
29700,"AS0","water_intensity","Mix:1.38"
30600,"AS0","carbon_intensity","Mix:415.06"
30600,"AS0","water_intensity","Mix:1.39"
31500,"AS0","carbon_intensity","Mix:412.49"
31500,"AS0","water_intensity","Mix:1.35"
32400,"AS0","carbon_intensity","Mix:411.25"
32400,"AS0","water_intensity","Mix:1.35"
33300,"AS0","carbon_intensity","Mix:403.65"
33300,"AS0","water_intensity","Mix:1.30"
34200,"AS0","carbon_intensity","Mix:400.80"
34200,"AS0","water_intensity","Mix:1.28"
35100,"AS0","carbon_intensity","Mix:397.75"
35100,"AS0","water_intensity","Mix:1.27"
36000,"AS0","carbon_intensity","Mix:397.79"
36000,"AS0","water_intensity","Mix:1.37"
36900,"AS0","carbon_intensity","Mix:396.03"
36900,"AS0","water_intensity","Mix:1.33"
37800,"AS0","carbon_intensity","Mix:390.73"
37800,"AS0","water_intensity","Mix:1.32"
38700,"AS0","carbon_intensity","Mix:390.63"
38700,"AS0","water_intensity","Mix:1.23"
39600,"AS0","carbon_intensity","Mix:389.15"
39600,"AS0","water_intensity","Mix:1.33"
40500,"AS0","carbon_intensity","Mix:392.19"
40500,"AS0","water_intensity","Mix:1.32"
41400,"AS0","carbon_intensity","Mix:388.11"
41400,"AS0","water_intensity","Mix:1.31"
42300,"AS0","carbon_intensity","Mix:393.91"
42300,"AS0","water_intensity","Mix:1.33"
43200,"AS0","carbon_intensity","Mix:398.69"
43200,"AS0","water_intensity","Mix:1.37"
44100,"AS0","carbon_intensity","Mix:405.82"
44100,"AS0","water_intensity","Mix:1.36"
45000,"AS0","carbon_intensity","Mix:407.84"
45000,"AS0","water_intensity","Mix:1.37"
45900,"AS0","carbon_intensity","Mix:407.59"
45900,"AS0","water_intensity","Mix:1.38"
46800,"AS0","carbon_intensity","Mix:415.72"
46800,"AS0","water_intensity","Mix:1.42"
47700,"AS0","carbon_intensity","Mix:420.65"
47700,"AS0","water_intensity","Mix:1.42"
48600,"AS0","carbon_intensity","Mix:427.30"
48600,"AS0","water_intensity","Mix:1.43"
49500,"AS0","carbon_intensity","Mix:435.48"
49500,"AS0","water_intensity","Mix:1.46"
50400,"AS0","carbon_intensity","Mix:432.83"
50400,"AS0","water_intensity","Mix:1.44"
51300,"AS0","carbon_intensity","Mix:442.27"
51300,"AS0","water_intensity","Mix:1.45"
52200,"AS0","carbon_intensity","Mix:449.05"
52200,"AS0","water_intensity","Mix:1.47"
53100,"AS0","carbon_intensity","Mix:455.32"
53100,"AS0","water_intensity","Mix:1.49"
54000,"AS0","carbon_intensity","Mix:458.07"
54000,"AS0","water_intensity","Mix:1.65"
54900,"AS0","carbon_intensity","Mix:463.30"
54900,"AS0","water_intensity","Mix:1.63"
55800,"AS0","carbon_intensity","Mix:464.74"
55800,"AS0","water_intensity","Mix:1.74"
56700,"AS0","carbon_intensity","Mix:456.59"
56700,"AS0","water_intensity","Mix:2.10"
57600,"AS0","carbon_intensity","Mix:461.24"
57600,"AS0","water_intensity","Mix:2.19"
58500,"AS0","carbon_intensity","Mix:462.19"
58500,"AS0","water_intensity","Mix:2.18"
59400,"AS0","carbon_intensity","Mix:457.95"
59400,"AS0","water_intensity","Mix:2.16"
60300,"AS0","carbon_intensity","Mix:453.35"
60300,"AS0","water_intensity","Mix:2.14"
61200,"AS0","carbon_intensity","Mix:450.31"
61200,"AS0","water_intensity","Mix:2.14"
62100,"AS0","carbon_intensity","Mix:447.16"
62100,"AS0","water_intensity","Mix:2.14"
63000,"AS0","carbon_intensity","Mix:446.71"
63000,"AS0","water_intensity","Mix:2.13"
63900,"AS0","carbon_intensity","Mix:444.70"
63900,"AS0","water_intensity","Mix:2.09"
64800,"AS0","carbon_intensity","Mix:444.73"
64800,"AS0","water_intensity","Mix:1.97"
65700,"AS0","carbon_intensity","Mix:446.32"
65700,"AS0","water_intensity","Mix:1.90"
66600,"AS0","carbon_intensity","Mix:445.25"
66600,"AS0","water_intensity","Mix:1.90"
67500,"AS0","carbon_intensity","Mix:446.47"
67500,"AS0","water_intensity","Mix:1.77"
68400,"AS0","carbon_intensity","Mix:443.85"
68400,"AS0","water_intensity","Mix:1.86"
69300,"AS0","carbon_intensity","Mix:444.47"
69300,"AS0","water_intensity","Mix:1.86"
70200,"AS0","carbon_intensity","Mix:445.81"
70200,"AS0","water_intensity","Mix:1.84"
71100,"AS0","carbon_intensity","Mix:444.09"
71100,"AS0","water_intensity","Mix:1.84"
72000,"AS0","carbon_intensity","Mix:446.52"
72000,"AS0","water_intensity","Mix:1.60"
72900,"AS0","carbon_intensity","Mix:446.27"
72900,"AS0","water_intensity","Mix:1.57"
73800,"AS0","carbon_intensity","Mix:449.50"
73800,"AS0","water_intensity","Mix:1.59"
74700,"AS0","carbon_intensity","Mix:454.13"
74700,"AS0","water_intensity","Mix:1.59"
75600,"AS0","carbon_intensity","Mix:459.38"
75600,"AS0","water_intensity","Mix:1.49"
76500,"AS0","carbon_intensity","Mix:460.21"
76500,"AS0","water_intensity","Mix:1.46"
77400,"AS0","carbon_intensity","Mix:460.51"
77400,"AS0","water_intensity","Mix:1.39"
78300,"AS0","carbon_intensity","Mix:459.27"
78300,"AS0","water_intensity","Mix:1.47"
79200,"AS0","carbon_intensity","Mix:461.49"
79200,"AS0","water_intensity","Mix:1.50"
80100,"AS0","carbon_intensity","Mix:464.51"
80100,"AS0","water_intensity","Mix:1.48"
81000,"AS0","carbon_intensity","Mix:465.89"
81000,"AS0","water_intensity","Mix:1.48"
81900,"AS0","carbon_intensity","Mix:463.23"
81900,"AS0","water_intensity","Mix:1.49"
82800,"AS0","carbon_intensity","Mix:461.75"
82800,"AS0","water_intensity","Mix:1.51"
83700,"AS0","carbon_intensity","Mix:460.27"
83700,"AS0","water_intensity","Mix:1.49"
84600,"AS0","carbon_intensity","Mix:460.01"
84600,"AS0","water_intensity","Mix:1.49"
85500,"AS0","carbon_intensity","Mix:455.72"
85500,"AS0","water_intensity","Mix:1.66"
86400,"AS0","carbon_intensity","Mix:454.99"
86400,"AS0","water_intensity","Mix:1.69"
87300,"AS0","carbon_intensity","Mix:449.68"
87300,"AS0","water_intensity","Mix:1.66"
88200,"AS0","carbon_intensity","Mix:446.85"
88200,"AS0","water_intensity","Mix:1.84"
89100,"AS0","carbon_intensity","Mix:453.17"
89100,"AS0","water_intensity","Mix:1.50"
90000,"AS0","carbon_intensity","Mix:443.93"
90000,"AS0","water_intensity","Mix:1.97"
90900,"AS0","carbon_intensity","Mix:442.03"
90900,"AS0","water_intensity","Mix:1.94"
91800,"AS0","carbon_intensity","Mix:442.25"
91800,"AS0","water_intensity","Mix:1.94"
92700,"AS0","carbon_intensity","Mix:443.13"
92700,"AS0","water_intensity","Mix:1.94"
93600,"AS0","carbon_intensity","Mix:444.11"
93600,"AS0","water_intensity","Mix:2.07"
94500,"AS0","carbon_intensity","Mix:441.97"
94500,"AS0","water_intensity","Mix:2.04"
95400,"AS0","carbon_intensity","Mix:439.24"
95400,"AS0","water_intensity","Mix:2.05"
96300,"AS0","carbon_intensity","Mix:438.47"
96300,"AS0","water_intensity","Mix:2.05"
97200,"AS0","carbon_intensity","Mix:437.88"
97200,"AS0","water_intensity","Mix:2.08"
98100,"AS0","carbon_intensity","Mix:440.76"
98100,"AS0","water_intensity","Mix:2.05"
