"timestamp","host_id","property_name","new_value"
0,"renewable_heavy_host","energy_mix","Biomass:0.36;Fossil Gas:9.09;Fossil Hard coal:0.00;Fossil Oil:0.09;Hydro Pumped Storage:1.61;Hydro Run-of-river and pondage:7.24;Hydro Water Reservoir:5.19;Nuclear:72.21;Solar:0.00;Waste:0.50;Wind Offshore:0.13;Wind Onshore:3.32;Energy storage:0.25"
900,"renewable_heavy_host","energy_mix","Biomass:0.36;Fossil Gas:9.19;Fossil Hard coal:0.00;Fossil Oil:0.09;Hydro Pumped Storage:1.57;Hydro Run-of-river and pondage:7.12;Hydro Water Reservoir:5.07;Nuclear:72.53;Solar:0.00;Waste:0.50;Wind Offshore:0.19;Wind Onshore:3.28;Energy storage:0.10"
1800,"renewable_heavy_host","energy_mix","Biomass:0.37;Fossil Gas:9.23;Fossil Hard coal:0.00;Fossil Oil:0.10;Hydro Pumped Storage:1.53;Hydro Run-of-river and pondage:7.09;Hydro Water Reservoir:4.87;Nuclear:72.88;Solar:0.00;Waste:0.51;Wind Offshore:0.22;Wind Onshore:3.19;Energy storage:0.03"
2700,"renewable_heavy_host","energy_mix","Biomass:0.37;Fossil Gas:9.22;Fossil Hard coal:0.00;Fossil Oil:0.10;Hydro Pumped Storage:1.47;Hydro Run-of-river and pondage:7.10;Hydro Water Reservoir:4.81;Nuclear:72.95;Solar:0.00;Waste:0.51;Wind Offshore:0.24;Wind Onshore:3.21;Energy storage:0.02"
3600,"renewable_heavy_host","energy_mix","Biomass:0.37;Fossil Gas:9.04;Fossil Hard coal:0.00;Fossil Oil:0.10;Hydro Pumped Storage:1.57;Hydro Run-of-river and pondage:6.92;Hydro Water Reservoir:4.83;Nuclear:73.12;Solar:0.00;Waste:0.51;Wind Offshore:0.28;Wind Onshore:3.24;Energy storage:0.02"
4500,"renewable_heavy_host","energy_mix","Biomass:0.38;Fossil Gas:8.72;Fossil Hard coal:0.00;Fossil Oil:0.10;Hydro Pumped Storage:1.24;Hydro Run-of-river and pondage:6.90;Hydro Water Reservoir:4.74;Nuclear:73.82;Solar:0.00;Waste:0.51;Wind Offshore:0.33;Wind Onshore:3.25;Energy storage:0.01"
5400,"renewable_heavy_host","energy_mix","Biomass:0.38;Fossil Gas:8.50;Fossil Hard coal:0.00;Fossil Oil:0.10;Hydro Pumped Storage:0.58;Hydro Run-of-river and pondage:6.95;Hydro Water Reservoir:4.41;Nuclear:74.82;Solar:0.00;Waste:0.52;Wind Offshore:0.41;Wind Onshore:3.28;Energy storage:0.03"
6300,"renewable_heavy_host","energy_mix","Biomass:0.38;Fossil Gas:8.46;Fossil Hard coal:0.00;Fossil Oil:0.10;Hydro Pumped Storage:0.66;Hydro Run-of-river and pondage:6.91;Hydro Water Reservoir:4.39;Nuclear:74.87;Solar:0.00;Waste:0.52;Wind Offshore:0.46;Wind Onshore:3.24;Energy storage:0.00"
7200,"renewable_heavy_host","energy_mix","Biomass:0.38;Fossil Gas:8.35;Fossil Hard coal:0.00;Fossil Oil:0.10;Hydro Pumped Storage:0.61;Hydro Run-of-river and pondage:6.67;Hydro Water Reservoir:4.73;Nuclear:74.91;Solar:0.00;Waste:0.52;Wind Offshore:0.51;Wind Onshore:3.22;Energy storage:0.00"
8100,"renewable_heavy_host","energy_mix","Biomass:0.38;Fossil Gas:8.09;Fossil Hard coal:0.00;Fossil Oil:0.10;Hydro Pumped Storage:0.60;Hydro Run-of-river and pondage:6.52;Hydro Water Reservoir:4.87;Nuclear:75.14;Solar:0.00;Waste:0.52;Wind Offshore:0.57;Wind Onshore:3.20;Energy storage:0.00"
9000,"renewable_heavy_host","energy_mix","Biomass:0.39;Fossil Gas:7.86;Fossil Hard coal:0.00;Fossil Oil:0.10;Hydro Pumped Storage:0.43;Hydro Run-of-river and pondage:6.48;Hydro Water Reservoir:4.64;Nuclear:75.72;Solar:0.00;Waste:0.52;Wind Offshore:0.64;Wind Onshore:3.20;Energy storage:0.00"
